,No-1,No-2,No-3,No-4,No-5,No-6,Early-1,Early-2,Early-3,Early-4,Early-5,Early-6,Early-7,Early-8,Early-9,Early-10,Early-11,Early-12,Early-13,Early-14,Early-15,Early-16,Early-17,Early-18,Early-19,Early-20,Early-21,Early-22,Early-23,Early-24,Early-25,Early-26,Early-27,Early-28,Early-29,Early-30,Early-31,Early-32,Early-33,Early-34,Early-35,Early-36,Early-37,Early-38,Early-39,Early-40,Early-41,Early-42,Early-43,Early-44,Early-45,Early-46,Early-47,Early-48,Early-49,Early-50,Early-51,Early-52,Early-53,Early-54,Early-55,Early-56,Early-57,Early-58,Early-59,Early-60,Early-61,Early-62,Early-63,Early-64,Early-65,Early-66,Early-67,Early-68,Early-69,Early-70,Early-71,Early-72,Early-73,Early-74,Early-75,Early-76,Early-77,Early-78,Early-79,Early-80,Early-81,Early-82,Early-83,Early-84,Early-85,Early-86,Early-87,Early-88,Early-89,Early-90,Early-91,Early-92,Early-93,Early-94,Early-95,Early-96,Early-97,Early-98,Early-99,Early-100,Early-101,Early-102,Early-103,Early-104,Early-105,Early-106,Early-107,Early-108,Early-109,Late-1,Late-2,Late-3,Late-4,Late-5,Late-6,Late-7,Late-8,Late-9,Late-10,Late-11,Late-12,Late-13,Late-14,Late-15,Late-16,Late-17,Late-18,Late-19,Late-20,Late-21,Late-22,Late-23
No-1,0,0.686977511757056,0.207635365967084,0.999413834840094,0.999805017767491,0.999260564437333,0.998855333977453,0.989586199620999,0.999711925248831,0.999694489950756,0.999519817015629,0.999611693845365,0.983574748330897,0.99897670452272,0.996603656788948,0.99930624726035,0.859716326953493,0.988619265190653,0.999812792388159,0.998834467918932,0.999024517018511,0.139768262783168,0.99927564445621,0.999961541998653,0.999896167080069,0.999915620200076,0.998853958680103,0.999836052322248,0.997825070848875,0.998757897514678,0.999880539443518,0.901831695842483,0.980360919241564,0.999082452456767,0.999912594922096,0.999888346898107,0.996945489967706,0.999912647201725,0.423081051146712,0.999950211890202,0.999224998244786,0.998929594196037,0.999767305734333,0.999408928997427,0.994785540915107,0.999035734374735,0.866867420827141,0.999783403726416,0.99961255328247,0.999899114402497,0.999752718226007,0.999650768909062,0.998654277370164,0.99990955699343,0.999415822200731,0.999868255504236,0.992341192794421,0.998042887614636,0.999561768495591,0.99985782366024,0.998253177136633,0.999390285712142,0.999212900584062,0.999876901293752,0.99841679740752,0.993164663535465,0.999756269600707,0.99897368025479,0.999388341480143,0.999299195894273,0.999706890250366,0.999913588005453,0.999640488633054,0.998486645613918,0.987418939266912,0.999927987378522,0.998771502993551,0.998929536394346,0.999468217907102,0.999902427839249,0.995606728908862,0.996749427808649,0.99986048786711,0.99596162121433,0.999025501806156,0.933686586240095,0.999872476491564,0.999620373955901,0.999673605754387,0.991857931736606,0.999689862885253,0.99679147812727,0.985633720066383,0.999901342882084,0.999352561108553,0.98502231388016,0.951692852154571,0.999900440216851,0.999855015113266,0.996247904439049,0.995103945255026,0.99785329323666,0.962880359408959,0.999831177398515,0.997950023865663,0.999650563021272,0.99155945619442,0.994518045710142,0.999210479222286,0.999384978687128,0.990985501026003,0.999664184078437,0.999878458602501,0.992187473158596,0.998416561966428,0.999036248892157,0.999836177280185,0.999786183227334,0.999751366710696,0.999923589082402,0.994915223844391,0.999921462088428,0.999752581456999,0.997008865283011,0.999916479204815,0.999885150094927,0.999892394344447,0.999819185127276,0.999042597398182,0.999709384754556,0.960847336849474,0.998475041445252,0.999913892526241,0.999937798456887,0.999170869798838,0.999919108411426,0.999846806417579,0.998151179593656
No-2,0.686977511757056,0,0.558628983894107,0.997867164810774,0.99973549461172,0.998520073347586,0.995993908460968,0.99387175515094,0.999122466000236,0.999400304702684,0.99795672004056,0.998437512934926,0.995244331576438,0.994532368783025,0.994331385297398,0.998645843275808,0.858982201637059,0.993314678923863,0.996975362440398,0.99435037032515,0.997337031116172,0.745710914085473,0.995032977387977,0.999563212528185,0.99653075886755,0.999480652810367,0.998889110768943,0.999448460452981,0.994718826894367,0.999948451374895,0.999747174219255,0.892260243431864,0.979535578899564,0.998818281197614,0.997608558476167,0.997342820067856,0.993823274336699,0.997255303847768,0.741927673191649,0.999873764302621,0.996621123303968,0.994653234600311,0.999352152874035,0.969457203320703,0.988616580453067,0.995327744245251,0.865556381805796,0.999399085772774,0.998659115464537,0.997452714400223,0.998880732899884,0.996168266652812,0.997931000135744,0.999292496900513,0.998858501320479,0.999710691345379,0.971845781916566,0.998135854225809,0.997806956192954,0.997428710612814,0.99800236517129,0.999413050495363,0.9981445046739,0.997075999605549,0.995211399264705,0.986380509004691,0.998614475399963,0.997558971243422,0.998313415196855,0.996271162884138,0.999342335830885,0.999349981497394,0.995067985202452,0.997697549294016,0.997889218248938,0.998850244703048,0.994653019555268,0.998179847835295,0.998671478408872,0.999779822842223,0.998524078117579,0.996007065845682,0.999237084651577,0.995061737380747,0.998049439181185,0.988184354014848,0.999411292130982,0.998728089176779,0.999650114575956,0.996502535527034,0.999066764349426,0.998515811523456,0.999015868561587,0.999246984296873,0.997168521255391,0.980369725472149,0.992467528139503,0.997342228862593,0.999381591319947,0.991335933552191,0.992405700714598,0.996763736651874,0.987045781499153,0.998981768666061,0.988982024781027,0.999596633336171,0.987704972077989,0.99950408312851,0.994104099023418,0.995363638673176,0.998000191575237,0.998940366568511,0.997484543682047,0.989201158062564,0.99488204540711,0.997360214316992,0.997233599654167,0.994451513288408,0.999169223899007,0.999207595642427,0.99668915850444,0.998465927335002,0.997021042224056,0.994685175342117,0.998250053614216,0.99976720055828,0.999355715144401,0.997778790144293,0.996061167833643,0.999616805369872,0.991129480641892,0.997837504605127,0.99755059720526,0.99867257152028,0.995039375192558,0.99940326095244,0.994429916808457,0.996868483752851
No-3,0.207635365967084,0.558628983894107,0,0.998430651605755,0.99983821312458,0.998603334485479,0.997893171926078,0.997142414107893,0.983096100615527,0.999404961029303,0.999070112959373,0.999239149167424,0.992967683794157,0.996278264346137,0.994394910359029,0.999075844363966,0.860416989754831,0.993850727149269,0.998661826598107,0.996772919428838,0.998412656677309,0.263626034568047,0.992192215522542,0.999760104378135,0.998779387006039,0.999655305717212,0.996706415286113,0.99959830879942,0.98982901193892,0.999945022406004,0.999788775437058,0.899596662377922,0.979597983262576,0.998977186526524,0.999070370470374,0.998974632052522,0.995522614669136,0.998923839109479,0.428374469570328,0.999857310222055,0.998761916361249,0.996875351539911,0.998545554314247,0.997464232890776,0.990593313197147,0.99704952848708,0.856178021595576,0.999339709398247,0.998181630806093,0.998721413292895,0.998880240331154,0.996051080727048,0.998418217382932,0.999630088357477,0.998895102569335,0.999671029529253,0.984549218107822,0.987167000146921,0.997136576650769,0.998868497491765,0.998223840462883,0.998714524089587,0.998086874437257,0.997028500521164,0.997565408889843,0.988104203942731,0.999157591454402,0.99496310745366,0.996550942568387,0.989832403205889,0.999157693642491,0.999528392199891,0.998616942256735,0.998303061593285,0.997696430250022,0.999583126526055,0.997223979660907,0.997956140717485,0.99746015526763,0.999786334047334,0.99833354823695,0.996641786293919,0.997670814991148,0.996729768971764,0.999097801538587,0.996675197844638,0.999657838300801,0.9992765284947,0.999489073129876,0.99555024277623,0.999513623852333,0.999001173062208,0.999081235527145,0.998720686429189,0.997642430819363,0.988032167048511,0.98988759045383,0.998992170234149,0.999606442177986,0.995073485303311,0.99219825594073,0.996017233992963,0.990106647369096,0.999396091612546,0.993483891141542,0.999697179425681,0.989048232084768,0.999709616109946,0.998125430116871,0.997224502146712,0.982673450162365,0.999284074644386,0.998987048619582,0.990163180503787,0.982884442573368,0.997655042527181,0.998793043989428,0.995143911301492,0.999514734014971,0.999240967999015,0.997468506040908,0.998999823113438,0.998688865945116,0.995925101368616,0.999060214993197,0.999556314260463,0.988632204464354,0.998925140349898,0.996542562201831,0.99933118246491,0.994352661602109,0.98242979770852,0.998789701105453,0.999295877278778,0.982680571794763,0.98406011710182,0.998792926973964,0.996336759087459
No-4,0.999413834840094,0.997867164810774,0.998430651605755,0,0.302905204574752,0.588076068017633,0.961715925182107,0.988673500383473,0.997336831106449,0.997713806704967,0.96682054873413,0.962980121706251,0.980321156250662,0.996601144179647,0.964738603681262,0.993143668011197,0.997918869131021,0.99765273270662,0.998003145358323,0.994815180998108,0.916343428391539,0.999262763510764,0.997217599194489,0.999349083962177,0.982591314224356,0.9662289966173,0.999044996516069,0.961637151110444,0.985771728243737,0.999581901830871,0.999646685828532,0.935720485218597,0.99790985535306,0.988034660346111,0.997461191522262,0.997798149245725,0.92942732975381,0.995780739850842,0.941909822237357,0.999689589798871,0.938387435681056,0.995840757226873,0.960949702879319,0.997138293117974,0.995655983529372,0.98149910777282,0.90898795042853,0.998813457940798,0.999020392285688,0.957941619917096,0.9942796229949,0.960285798624784,0.997697511917931,0.996186305015287,0.993415763899021,0.999276372817693,0.995540830376208,0.996284751650011,0.993120354807951,0.989242190608743,0.999133011364814,0.998556368504539,0.99764148119387,0.995610735143448,0.986380563059823,0.926809367133577,0.986612504590851,0.997508496213489,0.996195771935248,0.96057923122441,0.99803873921587,0.999537257825636,0.99339820788226,0.998012942572003,0.997439893237279,0.999471215038218,0.976991654529162,0.997144040753198,0.988868817730008,0.999235950086545,0.996066003669419,0.85453541846657,0.997646804027115,0.990064996038458,0.99877057417214,0.995716564906779,0.99685199996752,0.997377943513129,0.938641858962475,0.994386122959178,0.969311596104465,0.995989523978189,0.990266038772743,0.99631648150271,0.998282018698282,0.979978050045252,0.99581221949864,0.984762954561544,0.999674776827253,0.957185506251574,0.996189389432635,0.998340430165638,0.991567837785277,0.999392173289971,0.990342792963882,0.995692577679441,0.971682908944485,0.999760328619902,0.992272024322179,0.998689658551786,0.9974495970657,0.993840785016625,0.958118328577598,0.843595877882529,0.997134717669093,0.942956629519779,0.994996390456285,0.977376275637124,0.992279747093696,0.982295926486431,0.993240716750737,0.986123473648445,0.996673863896306,0.997011909859962,0.988373789480614,0.998851232570414,0.974800173355649,0.997067610919772,0.987790111658108,0.997997588553924,0.996316435453923,0.997686113940815,0.988121085728631,0.996582072582649,0.881039613461058,0.997790556395071,0.984433416866402,0.989436795559501
No-5,0.999805017767491,0.99973549461172,0.99983821312458,0.302905204574752,0,0.725285788692984,0.968442517310422,0.99718866973859,0.999482165186851,0.998928848972742,0.989322643850341,0.989465742878043,0.992682351843544,0.998424190858244,0.989546335370027,0.996136834024275,0.998209692887439,0.999419337401402,0.999503733494575,0.996561786526843,0.923315545025754,0.999700584006475,0.999620681639854,0.999692291080117,0.994786220452231,0.989699441280682,0.999488371805551,0.989672098134281,0.99612749788617,0.999736018652307,0.999751882978747,0.942588418302519,0.999589342389758,0.996207269892101,0.99981888432986,0.999465620221972,0.934952899175183,0.999124836993611,0.948279356704989,0.999848983200686,0.937990585710512,0.998765287073497,0.989404601678319,0.999543292150521,0.997630548772851,0.999434233320379,0.916228343770503,0.999669299289022,0.999701518865504,0.989451057223252,0.999334321284651,0.989495675428822,0.999137608963257,0.997942138921585,0.998804430609262,0.99944332885189,0.999073672496921,0.999257469074549,0.998214259371908,0.996455812739962,0.999585814610342,0.999657827161788,0.999574450620386,0.99970342468437,0.995166989425361,0.930658506650773,0.994917608370627,0.999769697661445,0.998090246149618,0.989228454148162,0.999173090871674,0.999881276283272,0.996399146831687,0.998765236776073,0.99897077273039,0.999825129831089,0.989413634149832,0.998929781416553,0.998223892384386,0.999263240427771,0.999300788947321,0.885585920813812,0.999603208519198,0.998021152450029,0.999596834074763,0.997834344495088,0.999722146778552,0.999772695181648,0.945378528007468,0.999423856088845,0.970773057795104,0.999132659763756,0.995778094714526,0.999643811342662,0.999324232962687,0.993644695841506,0.998601924592713,0.993536773412994,0.999936288474298,0.987716657911044,0.998796727235325,0.99929000382926,0.997928376256715,0.999872315175848,0.998505252333645,0.998594899751038,0.9902073115458,0.999946126749571,0.999312811609623,0.999724194350744,0.999370713895895,0.998744705621968,0.989403598192857,0.889575787259778,0.999324048920893,0.94568685206223,0.999614351964616,0.989480187183135,0.999652811149012,0.992738563652881,0.999006783392828,0.994984604187628,0.999582464142931,0.997523937264725,0.995574762303274,0.999030052226084,0.989393304372536,0.998278336948556,0.989671845991971,0.999760794421913,0.998785779375333,0.99819075504011,0.995853973474591,0.997526769684981,0.883188479692808,0.99972148783636,0.995779743705231,0.99047488010556
No-6,0.999260564437333,0.998520073347586,0.998603334485479,0.588076068017633,0.725285788692984,0,0.96839049775797,0.986907023733246,0.997487104078148,0.99779741548426,0.916162904905384,0.914735635334631,0.952885835703311,0.996445633539367,0.929563507774799,0.990262055386559,0.997860616447389,0.996097279456228,0.991050012621176,0.994529657105401,0.92378031586247,0.999406010319038,0.986860867247704,0.999243061070853,0.960794596956775,0.925248079253405,0.998192551036985,0.847838101131948,0.981249937400962,0.999157898718195,0.999564875004208,0.941385193567897,0.998231659045033,0.967922844099322,0.996925248107276,0.991124629736098,0.928668376011974,0.984773199649191,0.947702560478367,0.999665792194615,0.946786450419038,0.995087364292856,0.890147629870721,0.995260504631123,0.995658284005543,0.981778233200252,0.91685622993601,0.998558119583345,0.999332109641438,0.868228928746102,0.993634852096671,0.863551315571218,0.997036826002617,0.995147785151352,0.993436115107073,0.99839282816734,0.988698688138508,0.994432319573501,0.98145199436178,0.980667700882214,0.999020462025414,0.996580564896695,0.992562210668887,0.969053104231177,0.96398138052227,0.926720384139042,0.972110341222895,0.997598364170644,0.996410742241662,0.922952990014494,0.997739992512226,0.998814612886355,0.991763761777254,0.998109070870556,0.996492087210985,0.998862719171895,0.936138665889063,0.994342400665169,0.989826350260006,0.99924730740869,0.99617725572992,0.851579084514032,0.99031376141091,0.976374577113729,0.99773298200379,0.996264667493421,0.995335133636902,0.996422600084373,0.946658266438481,0.98842070876892,0.971109076407923,0.994438414921507,0.990542337210367,0.978057116429116,0.997770251351152,0.965415807091696,0.993468452405516,0.950998984771182,0.998841038617345,0.878812859323372,0.996376698737175,0.99855596066673,0.989573228038968,0.999162067000795,0.993878468357149,0.995250609819931,0.972344077200758,0.999387676006046,0.968788137725543,0.998717092116564,0.997185098524586,0.993940150647267,0.847635356778855,0.874749442583021,0.995223861838564,0.991886343982398,0.985937850736289,0.934796170776216,0.992199284339133,0.964106294283643,0.994124827804422,0.975507311929805,0.986612272703744,0.996566656122847,0.979561548937347,0.998884575331608,0.926171180860263,0.992863808446072,0.993375566243924,0.998106756779613,0.995899492927055,0.99727691851951,0.963913080049336,0.996417975635681,0.994082405845051,0.995791533635478,0.966391947684202,0.996650245186115
Early-1,0.998855333977453,0.995993908460968,0.997893171926078,0.961715925182107,0.968442517310422,0.96839049775797,0,0.988775984383463,0.998330722727949,0.997656064409415,0.996225154518597,0.996408293008162,0.995566106895073,0.975808798432726,0.998181274840199,0.998562600893642,0.996241483556251,0.98612029049791,0.996752060335403,0.995157210594135,0.744397624082126,0.998555892191452,0.994953463574146,0.999633548579354,0.996957812061269,0.998119461850252,0.998065347002639,0.998749983153008,0.987274522085767,0.999849436728785,0.989829420920183,0.918687866273381,0.985727830985542,0.997609851496728,0.999327190065759,0.998957890070145,0.963650466091194,0.998906794908311,0.930109581039626,0.999793329496437,0.96707003742092,0.993717452112158,0.998954261172624,0.990648088496733,0.990170455312606,0.996010696620527,0.871272558303742,0.997859236106671,0.997821043751161,0.998574448294925,0.997722548716821,0.998459211997173,0.995692540642516,0.998740744360949,0.997521587946411,0.999263472217995,0.99300583873033,0.997903277545363,0.996922333191207,0.998540823070868,0.997003407445122,0.997913736499167,0.970026404749634,0.998924810012538,0.993816676487696,0.94961173928046,0.994722612627257,0.998994446415187,0.992321580331862,0.996785477665707,0.998153255064944,0.999092598027934,0.976635253999245,0.993274297808517,0.993168780448806,0.998924779146418,0.995834946660404,0.974331000463462,0.995499998272075,0.993750644799328,0.995011266150424,0.959210690191236,0.998342615963978,0.98819074343191,0.998411047023147,0.992573096463273,0.999207221720676,0.997819522506966,0.768561633660665,0.991191853920911,0.968139588196569,0.997685721176773,0.998572754925638,0.998953937177759,0.9982593133879,0.989811355876746,0.989084776032836,0.998817904184897,0.998705011080914,0.996578090407943,0.995710487147555,0.974800399256237,0.990214200333846,0.998981726359354,0.995928033855081,0.998562328030048,0.988161389699816,0.999314672671647,0.998205216820465,0.993999732935426,0.996781580371494,0.997774426262059,0.99876299765556,0.964942171147557,0.991815759065922,0.989775589841695,0.996447169784627,0.997663914466334,0.998525853840606,0.998351017375124,0.9909434131453,0.9983130259055,0.998984615991904,0.996808942267934,0.999383666712401,0.999743192533188,0.998320003407537,0.999246675707597,0.994546108633157,0.998532613339984,0.991792925449447,0.994059707890115,0.997204788002317,0.999831744877997,0.996427759589109,0.999243154500787,0.997025722567961,0.971411930040168
Early-2,0.989586199620999,0.99387175515094,0.997142414107893,0.988673500383473,0.99718866973859,0.986907023733246,0.988775984383463,0,0.979059808483458,0.996607973347319,0.996344472821599,0.997085673008165,0.975207973565789,0.982045414773244,0.994851601126649,0.998306636970185,0.997764851656341,0.983484087322322,0.997087452834897,0.99441898530759,0.998261130092355,0.998930774180196,0.993314962919752,0.999655576802808,0.998285207598959,0.998747733129643,0.99645503584483,0.998750194834135,0.985849067128068,0.99992815369708,0.99975307258038,0.986979241211151,0.987027019560082,0.995867434079274,0.998383927286852,0.997972723534868,0.98436373470581,0.997571396613142,0.989621005670889,0.999772293255147,0.976814692037172,0.987551717675732,0.996521897850039,0.985573796624263,0.919777399797045,0.991306652452102,0.981175497334391,0.995078666380759,0.926383527249298,0.997973432919749,0.998203993450445,0.997479763183985,0.987669315708213,0.998715540645636,0.99107317428572,0.999020546333487,0.98626063756843,0.991399595694224,0.97390387181402,0.999235239397293,0.991694698672276,0.998004909820834,0.988764245856159,0.99813887655926,0.99651477014449,0.975008679621364,0.909162226788355,0.996887232105021,0.99547626832346,0.98896719476938,0.994715808648157,0.998087498748267,0.9980652181981,0.973263048151857,0.974173452619689,0.997900840606608,0.982504386488358,0.989086413244337,0.987636700906275,0.999583562777739,0.989913465161745,0.977572853137028,0.996137639425631,0.711619092475834,0.996894938022214,0.974182920421948,0.998542660962613,0.92719279349599,0.99875227647591,0.985850589612044,0.992424044987769,0.988419933693282,0.984584571660861,0.997615478054561,0.997596692203869,0.976490833495487,0.970771437418197,0.998194666387631,0.998381936925348,0.988187119557342,0.986386099586465,0.990559203208567,0.973231753594863,0.999284457629886,0.994787805362557,0.996938596284133,0.922422254078069,0.988869695406753,0.992776319086189,0.995869533967646,0.980826779249246,0.973301511900625,0.997969763025423,0.984656956788641,0.992871445414733,0.99741163116088,0.99764199221587,0.996316729275482,0.994367714531626,0.998536286318682,0.976368798107671,0.997230161483539,0.998148511636822,0.98693114248307,0.99957776142965,0.999172068182469,0.99869400966858,0.998505666865627,0.993986020858926,0.99768467246826,0.980454128926288,0.989114451008166,0.998202215833791,0.999901165324802,0.979254557268293,0.997971333455073,0.998026930823203,0.987466175246524
Early-3,0.999711925248831,0.999122466000236,0.983096100615527,0.997336831106449,0.999482165186851,0.997487104078148,0.998330722727949,0.979059808483458,0,0.999190313142458,0.993046858146336,0.988982162683932,0.989589648862956,0.998055584684537,0.995985822580598,0.999585693912022,0.999741416357435,0.984209700727061,0.99859326904409,0.998507304223849,0.999589542939515,0.999455630416889,0.94007941211894,0.999648301408439,0.998380395554487,0.998656140047298,0.99000715853952,0.999413462780838,0.989555849158182,0.999882918002373,0.999930252024579,0.997878966258466,0.974722989393123,0.999574099987738,0.999379945505207,0.999128048042739,0.99909834012273,0.999028098738406,0.998553906359318,0.999767654421629,0.998257569119085,0.995693803209217,0.997731047371095,0.998115909341459,0.996871614659066,0.990522994993927,0.896430821624418,0.997817569694003,0.997814326757136,0.997950411580355,0.936746189878462,0.987383814578669,0.998678005616089,0.999549992619661,0.999038432164017,0.997967614446399,0.982758342057399,0.991494404783586,0.682302434399945,0.998407303422208,0.999240852481687,0.9961336641849,0.998843409028604,0.99548601084569,0.994746525438258,0.980008678685223,0.998703811553749,0.969664311423046,0.99590486961713,0.990249692049392,0.962364682784471,0.999629801292587,0.999591200994967,0.9981544422321,0.988962319009275,0.99911069311084,0.985859388299278,0.998756274414037,0.993005305831115,0.999954954040525,0.979204660861372,0.998227222771056,0.992376439669037,0.980585532690077,0.998618937032203,0.997592432921899,0.999401231660619,0.99769228934036,0.999364247606742,0.99781436699047,0.999951410593651,0.998974477069357,0.998816016359647,0.995808267540343,0.99924988435183,0.967880165314426,0.98422977672991,0.999147849073391,0.999103864007504,0.997953142482948,0.995515917193968,0.998347220390219,0.988308464377951,0.999377398592767,0.994899552620593,0.999698399431503,0.974273757682795,0.999687305401912,0.836126338585442,0.998910213778815,0.492072138667665,0.999098672066162,0.9988502837089,0.9916637171665,0.606770881253178,0.997460803682695,0.994527243733147,0.981870915281851,0.983233777876265,0.99869062473961,0.992189970375471,0.998817439297449,0.998936924896869,0.99932009616326,0.999253547830976,0.999239150893148,0.780495420997246,0.999246024501063,0.996721875533679,0.997749780605482,0.998761709561282,0.720706098038418,0.998098822521348,0.999372836046484,0.96284809846983,0.750497194232352,0.998100564560069,0.998156059790187
Early-4,0.999694489950756,0.999400304702684,0.999404961029303,0.997713806704967,0.998928848972742,0.99779741548426,0.997656064409415,0.996607973347319,0.999190313142458,0,0.999424941185121,0.999578781524839,0.998753288406136,0.998446098152651,0.999433436179777,0.999907177752641,0.999646263395246,0.997573109858334,0.999716205807083,0.998469842371081,0.99901992334498,0.999858615828061,0.999488900562779,0.999904895511785,0.999857786027786,0.999899414562129,0.999463614552989,0.999898296000316,0.996166133672365,0.999967936056716,0.999833286217264,0.997652667047087,0.997655516313759,0.998838149029344,0.99991611604395,0.999866788330922,0.995817038491472,0.999849266589863,0.998102513832757,0.999842178209026,0.997473287113592,0.998156035281437,0.998960602621553,0.997993715168967,0.998454105689676,0.998668383701799,0.999281984912876,0.999550035744289,0.999330499611851,0.999865693346735,0.999271428856817,0.999721812381066,0.998473542373769,0.999889774392498,0.359195482378657,0.999783163997841,0.999079492651544,0.999338980040898,0.998849342644263,0.999693924904153,0.99902897773048,0.999524648704855,0.999319492477047,0.999802444226764,0.999309510904344,0.996393205692712,0.99822723885601,0.999132002490961,0.849173935775247,0.999443102413612,0.999305712540612,0.999862611802731,0.996747022785165,0.997673686713579,0.99807282224923,0.999795630057279,0.998435116800436,0.999281052934328,0.863502494241458,0.998698638448649,0.998518550752416,0.997363347070857,0.99787878773364,0.997900354836758,0.999748408063993,0.998780105232379,0.999857732595684,0.99914496367935,0.999426015268963,0.99818203957601,0.999632984230186,0.999813025313624,0.998119555043243,0.999796534891091,0.999504851715115,0.998006269119552,0.997612595329318,0.999898269093738,0.999833877035342,0.999547297917214,0.999244194503295,0.995968490299821,0.997385725920716,0.997382802685604,0.999140687692384,0.99986684145841,0.998139218995596,0.999830527115517,0.998016446296881,0.999139338644671,0.999252171441101,0.998022056363006,0.999878807793187,0.996831498082918,0.998184047880009,0.998910655245695,0.999709396761325,0.999802681649681,0.999093957018522,0.999859732812368,0.998075020354711,0.99979263121831,0.999426593056639,0.999534407010186,0.999897205242671,0.999915914399074,0.99972958765825,0.999909833087676,0.998600600404533,0.999343968578794,0.999362892377087,0.998596894966617,0.999863961725235,0.999930844086169,0.99929645182346,0.999849394048132,0.99980961782712,0.998352612309116
