Contig	AWG0_V	AWG10_V	AWG1_V	AWG2_V	AWG3_V	AWG5_V	AWG6_V	AYW2_V	AYW6_V	AZB1_V	AZB2_V	AZB4_V	AZC1_V	AZC3_V	AZC5_V	AZE2_V	AZE7_V	AZJ10_V	AZJ1_V	AZJ6_V	AZK1_V	AZK4_V	AZO8_V	AZO9_V	AZP1_V	AZP2_V	AZR1_V	AZS0_V	AZS1_V	AZS2_V	AZT2_V	AZV1_V	AZX1_V	AZX2_V	AZX4_V	BAC3_V	BAC7_V	BAD1_V	BAD2_V	BAF1_V	BAF2_V	BAF3_V	BAF7_V	BAF8_V	BAH14_V	BAH1_V	BAH4_V	BAJ2_V	BAJ6_V	BAL2_V	BAL6_V	BAM1_V	BAM2_V	BAM4_V	BAM6_V	BAO5_V	BAO6_V	BAS3_V	BAT4_V	BAW0_V	BAW1_V	BAW4_V	BAW5_V	BAW6_V	BAX1_V	BAX2_V	BAX3_V	BAX4_V	BAX6_V	BAY1_V	BAY4_V	BAY6_V	BAY9_V	BBD0_V	BBD1_V	BBD2_V	BBD6_V	BBF1_V	BBF6_V	BBF8_V	BBN1_V	BBN3_V	BBN6_V	BCL5_V	BCL6_V	G01M_8068_V	G01M_8190_V	G01M_8193_V	G01M_8197_V	G01M_8337_V	G01M_8340_V	G01M_8349_V	G01M_8363_V	G01M_8393_V	G01M_8394_V	G01M_8396_V	G01M_8399_V	G01M_8405_V	G01M_8414_V	G01M_8418_V	G01M_8519_V	G01M_8520_V	G01M_8528_V	G01M_8533_V	G01M_8588_V	G01M_8590_V	G01M_8597_V	G01M_8653_V	G01M_8658_V	G01M_8661_V	G01M_8755_V	G01M_8757_V	G01M_8768_V	G01M_8870_V	G01M_8873_V	G03J_7869_V4	G03J_7872_V1	G03J_7875_V2	G03J_7879_V5	G03J_7944_V3	G05A_8347_V6	G18F_V10	G18F_V11	G18F_V12	G18F_V14	G18F_V17	G18F_V18	G18F_V20	G18F_V2	G18F_V6	G18F_V9	G21F_7876_V1	G21F_7878_V2	G21F_7881_V3	G21F_7946_V4	G21F_7947_V5	G23J_7924V	G23J7927V1	G23J7928V2	G23J_7933V	G23J_7936V	G23J_7937V	G23J_7940V	G23J_7943V	G23J_8030V	G23J_8060V	G23J_8062V	G23J_8064V	G23J_8066V	G23J_8067V	G23J_8195V	G23J_8196V	G23J_8200V	MixLL9_V2	MixMB4_V11	MixMB6_V12	MixMS12_V7	MixMS20_V8	MixRN4_V3	MixRN7_V4	MixSK11_V6	MixSK5_V5	MixSR5_V9
G23J_7940V__6341	55	7	6	0	0	0	1	29	0	44	527	0	5	118	31	244	108	2	77	10	180	0	2	1	627	155	0	0	668	103	13	14	0	0	7	4234	847	13	60	245	3	36	13	0	1399	1091	372	5	13	71	74	59	58	14	19	34	0	6662	0	75	67	132	27	0	1493	1201	4	2482	581	610	345	138	0	252	94	235	107	206	0	418	42	22146	5	0	0	1390	125	409	297	714	325	142772	0	34	0	286	45	6	0	7644	2942	2247	0	16	39423	153	0	276	0	3	0	0	309	1	2	157	2	108	51	124	0	10	11	24	13	91	69	0	0	2	130	5792	1030	162	177	1415	260	24	25	29	487	2576	163772	119	797	268	2411	513	1	79	66	4	17	0	3	49	0	0	9	13	0	0	17
G01M_8418_V__5783	28	3	0	0	0	0	0	221	12	35	103	0	6	7	9	4	0	0	28	136	13	1	0	0	4	1	0	0	1	6	3	41	0	0	1	21	12	2	1	27	5	1	157	4	0	68	30	27	8	40	0	6	0	1	10	26	0	1	13	6	26	4	49	0	18	12	0	20	8	14	12	9	4	11	16	10	0	0	8	3	480	162	12	35	0	0	5	32	101	157	8	82	0	0	2	32	16	0	20	1201412	3	6	1	5	12	1	28	20	7	2	2	0	0	1	5	0	33	444	506	27	5	64	454	15	187	300	11	1	13	78	101	28	15	26	96	1637	25	3	1	4	21	135	669	49	2	69	9	49	0	11	7	9	483	4	49	51	121	0	60	389	2	20	132
G18F_V9__4157	65	386	100	5	99	38	436	2582	38	36	83	0	4	0	210	3	0	89	515	4	1028	4226	17	22	4304	476	53	0	6258	1541	336	330	155	69	39	455	45	191	782	256	489	48	316	211	120	252	20	432	14	212	2	1922	1999	57	1342	789	241	794	20	581	59	60	2	37	12	30	43	13	35	1615	752	915	273	1905	567	150	489	299	2599	724	100	15	463	1042	36	6	16	19	2506	8868	0	15546	5	32	256	32	30	9	115	531	181	458	316	7	8341	34	423	281	350	313	227	252	505	6	174	778	134	1703	269	430	3	813	512	9	4210	1289	136	4	19	363	536898	1083	267	119	299	642	303	33	23	0	97	245	403	155	2	1885	15	433	0	111	6	14	151	67	93	231	78	2	163	127	32	122	274
VC_6_4	614	0	0	0	0	0	14	342	0	280	216	1	0	0	0	35	593	0	0	2	0	0	0	1	0	0	0	5971	2	0	2	0	670	62	435	2	1	2215	9	1	3	3	0	1	0	3	0	0	0	0	74	0	0	4	0	12	2	0	49	1161451	3566	183	0	0	0	2	0	0	41660	163818	0	0	8	396	3	0	3	52766	43	0	6568	132988	7	36	4	0	0	0	4	6	19	0	37	700	5	1585	8086129	4	0	18	150	22	0	1039	0	0	0	0	110	0	0	0	0	0	0	130	0	16	10	1	0	6	0	2	0	14	1633	0	0	7	0	4670	31	525	0	1	28858	0	0	77	1124718	1184824	44	5739	155	1529	12	1875	2	554	4485	39	2	0	0	0	0	0	0	2	0	0	13
G01M_8399_V__2589	84	0	3	8	0	0	0	0	0	17547	9002	0	0	0	0	458	231	0	211	0	1038	0	4	0	8	10	0	20	73	14	0	20	0	26	4	92	61	85	716	49	4	1	3	1	75	2033	4957	470	0	749	6	0	0	0	0	1	0	4226	0	24	90	0	0	0	56	37	0	88	13	174	6	4	0	202	1121	1276	27	99	0	53	46	8	0	6	0	0	0	79	1301	581	0	55	0	4622	0	100	338977	0	0	434	191	40	1	335	0	3	0	675	1	0	5	0	8	0	11	2	0	1	0	0	0	0	0	2593	12	0	2	0	0	0	14	765	695	1145	39	339	19	19	9	2	45	127	77	108	0	145	10	457	4	63	5	2	0	0	0	0	0	0	0	26	0	0	11
AZJ1_V__2768	16	6896	8	18	7	98	169	0	211	5	6	0	30	91	4	7	100	913	11270827	20544	28	1	2141	11666	37	171	1910	262	1527	1838	1	5521	0	2	1	9	4	4	33	26	452	1178	282	214	5	21	19	20	2168	14	0	3004	347	2	109	10	52	12329	9567	18	0	0	2	0	34	4	2	0	0	185	137	95	367	72932	16	5	0	10	0	6	0	1	3130	20	69	7	30	24	1340	1728	26111	1572	359	0	3	129	18	0	415	50	77	97	8	0	702	56	1	1594	11	5	2	11	16	88603	225	374	5164	5440	13722	108	355	1744	2067	455	13	21	31	9	1308	4	7523	415	99	16	48	3393	16	36	12	2	8	11896	278	840	28	44	815	2294	84	185	8	362	35	165	81	91	1523	8748	429	9	299	16	139
VC_29_0	47764	0	6332800	52324	18	0	23983	0	34	312622	2737667	6085075	6	314	40	50	4	33	7577	6	2	1	0	0	1	10	10	3716011	17	3	26	9	223	2	4	835	1	595	594	6	0	25	2879	0	75	82	18	139	0	4	10629	45	2	6	0	183	36	1888	316	6277044	1305	138	0	0	6	6	4	19	24	4	16	2	264	529281	297	53	8	1587	619	2	3262363	1431332	2	11730	261	98568	655482	5872207	27	74	69	4	38	37703	4	59	1843156	1119	1	48	418	3	2	320	0	0	28	11	41	6	0	0	3	1	8	0	0	22	22	0	16	140	628	584	583	11233	749	17308444	43	720	422	1238	7243075	5782151	27	2277	23	2606	2855	28447	134313	2770	14	263869	20	74	13	25617	12	1222004	26843	241	43	0	18	0	0	0	0	0	0	0	0
AWG0_V__6047	6368219	0	32320	14	0	0	3	0	0	18	49	0	0	0	0	14	0	0	0	0	29	0	1	4	0	0	4	0	0	0	0	14	0	0	0	3	2	7857	22387	13	32	1721	0	12	0	0	2	14	0	1469	272211	0	0	48	12	0	0	3	8	69088	456405	20289	6	12	4521	13399	21	368	6989	15427	0	0	38	48	1	0	0	209847	1	0	0	0	6	48	0	0	6	0	9	0	0	0	17	372	0	26	27164	0	0	4423	179006	119	0	80	0	0	0	0	0	0	0	1	0	0	0	3481	6	287	414	0	2	0	0	0	8	8	1	0	0	0	0	1	6	45	4	22	44399	1	0	0	6	16	59	1629	0	38	0	127	0	35036	0	223	0	0	0	0	0	0	0	11	0	0	26
VC_149_1	9	0	3	0	0	0	0	0	0	16	12	0	6	3	10	5	0	0	16	0	1207	0	0	0	28	0	10	2	64	162	154	374	39	75	4813	370	77	73	0	8	0	2	0	0	18	937	464	1	2	13	0	5	2	0	0	0	0	9	0	39	52	0	0	0	13	53	0	3	42	779	21	426	0	209	52	8	0	171	0	1	85	560	0	2	0	0	0	2592	298	770	694	22659	0	9	0	380	61	12	0	1220201	158	403	2	39	3052	10	0	6453	0	0	9	0	0	0	0	110	0	4	18	0	0	0	15	83	0	15	1	17	0	0	6	56	93	40	40	704	45	4	6	12	167	129	124	57	0	9629	2	70	1	56	0	2	0	0	0	0	0	0	0	554	0	0	0
BAW1_V__3750	52	0	4537	717	0	4	26	0	0	9162	110162	7012	11	15	5	319115	25194	0	478	5	29	33	1	0	9	0	47	3806	0	5	2	86	472	1	3	487	437	4822	11	0	2915	18	21	1	55	59	33	0	0	30	37	0	2	8	30	34	2	0	4	34	4629171	1124	26	84	321	29461	0	740	5163	7622	20	2	32	388	658	193	0	832	654	18	646	38	0	0	0	0	0	4	3945	599	24783	15	0	32	0	1775	1118	0	2	159	5	21	0	0	6	2	0	18	0	0	0	0	2823	7	0	0	0	24	8	2	0	0	33	22	1	0	1	0	0	6	31	5	2591	3162	8	6	6	148420	114061	4	85	73	60	2409	0	321	0	188	0	4041	50	1	26	0	0	10	0	0	0	27	1	0	5
