contig_id	length	taxa_priority	taxid	Superkingdom	Phylum	Class	Order	Family	Genus	Species
BBD2_V__6204	5310	1	1655647	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	unknown	Microviridae Bog1249_12
AZS0_V__1251	7121	1	52979	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Lactobacillus phage phig1e
G21F_7947_V5__1016	7480	1	1871681	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Lactococcus phage 50101
G21F_7878_V2__5377	8906	1	198542	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unknown	unknown	Streptococcus phage 315.5
G01M_8520_V__9340	9536	1	198542	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unknown	unknown	Streptococcus phage 315.5
BBD2_V__9029	11188	1	646413	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Streptococcus phage 5093
G23J_8064V__10054	11212	1	1871681	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Lactococcus phage 50101
G23J_7940V__3210	11212	1	1871681	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Lactococcus phage 50101
AWG0_V__355	12624	1	1871681	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Lactococcus phage 50101
G21F_7876_V1__7538	12930	1	646413	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Streptococcus phage 5093
G01M_8418_V__6167	13325	1	1500713	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	unknown	Vibrio phage X29
BAC3_V__4465	13669	1	1871681	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Lactococcus phage 50101
G21F_7947_V5__5575	15317	1	1871681	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Lactococcus phage 50101
BAD2_V__7847	15548	1	347324	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Pseudomonas phage F10
G23J_7940V__9338	15928	1	52979	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Lactobacillus phage phig1e
BAY9_V__3637	16231	1	557289	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	unknown	Burkholderia phage KS10
G18F_V17__9225	16470	1	557289	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	unknown	Burkholderia phage KS10
AZO9_V__3535	16613	1	910474	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Tigrvirus	Burkholderia virus KL3
G21F_7878_V2__8157	17348	1	1500713	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	unknown	Vibrio phage X29
MixRN7_V4__3130	17497	1	1871681	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Lactococcus phage 50101
BAM2_V__1605	17515	1	1675317	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Erysipelothrix phage SE-1
G18F_V12__2252	17851	1	198542	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unknown	unknown	Streptococcus phage 315.5
AZP1_V__592	18040	1	1161930	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Limdunavirus	Leuconostoc virus Lmd1
G01M_8399_V__579	20238	1	1262533	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Skunavirus	Lactococcus virus 340
G05A_8347_V6__6633	21491	1	1862958	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Ceduovirus	Lactococcus virus D4410
BAJ6_V__5195	21567	1	52979	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Lactobacillus phage phig1e
AZX1_V__4781	21593	1	1862958	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Ceduovirus	Lactococcus virus D4410
BBD1_V__6526	21864	1	1862958	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Ceduovirus	Lactococcus virus D4410
BAM1_V__1444	22261	1	279530	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	unknown	Burkholderia phage BcepB1A
G01M_8418_V__4622	22800	1	1500713	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	unknown	Vibrio phage X29
G01M_8519_V__9816	22984	1	198539	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	unknown	Streptococcus phage 315.2
BBF8_V__2646	23067	1	1864623	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Uetakevirus	Enterobacter phage Tyrion
