,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
0,AWG0_V__107,Unassigned,Unassigned,Unassigned,36_2,Clustered/Singleton,1,VC_36_2,1,0.0,1.0,0.0,1,1,1,1.0
1,AWG0_V__123,Unassigned,Unassigned,Unassigned,6_1,Clustered,6,VC_6_1,6,0.3422,0.99999999,0.3422,1,1,1,0.9333
2,AWG0_V__1820,Unassigned,Unassigned,Unassigned,58_0,Clustered,30,VC_58_0,30,0.298,1.0,0.298,1,1,1,1.0
3,AWG0_V__2892,Unassigned,Unassigned,Unassigned,89_0,Clustered,2,VC_89_0,2,0.6072,0.91327915,0.5545,1,1,1,1.0
4,AWG0_V__3301,Unassigned,Unassigned,Unassigned,92_0,Clustered,3,VC_92_0,3,1.0,1.0,1.0,1,1,1,1.0
5,AWG0_V__3318,Unassigned,Unassigned,Unassigned,94_0,Clustered,4,VC_94_0,4,0.2948,0.64391094,0.1898,1,1,1,1.0
6,AWG0_V__355,Unassigned,Unassigned,Unassigned,99_0,Clustered,24,VC_99_0,24,0.4493,1.0,0.4493,1,3,2,0.9493
7,AWG0_V__3623,Unassigned,Unassigned,Unassigned,114_0,Clustered,2,VC_114_0,2,0.2654,0.90478487,0.2401,1,1,1,1.0
8,AWG0_V__373,Unassigned,Unassigned,Unassigned,117_0,Clustered/Singleton,1,VC_117_0,1,0.0,1.0,0.0,1,1,1,1.0
9,AWG0_V__418,Unassigned,Unassigned,Unassigned,138_0,Clustered,2,VC_138_0,2,0.0495,0.89435023,0.0443,1,1,1,1.0
10,AWG0_V__4516,Unassigned,Unassigned,Unassigned,150_0,Clustered,2,VC_150_0,2,0.6364,0.87921671,0.5595,1,1,1,1.0
11,AWG0_V__5102,Unassigned,Unassigned,Unassigned,157_0,Clustered,3,VC_157_0,3,0.543,0.98655847,0.5357,1,1,1,1.0
12,AWG0_V__5112,Unassigned,Unassigned,Unassigned,158_0,Clustered/Singleton,1,VC_158_0,1,0.0,1.0,0.0,1,1,1,1.0
13,AWG0_V__5488,Unassigned,Unassigned,Unassigned,55_8,Clustered,2,VC_55_8,2,0.024,0.9519918,0.0228,1,1,1,1.0
14,AWG0_V__593,Unassigned,Unassigned,Unassigned,217_1,Clustered/Singleton,1,VC_217_1,1,0.0,1.0,0.0,1,1,1,1.0
15,AWG0_V__6541,Unassigned,Unassigned,Unassigned,235_0,Clustered,4,VC_235_0,4,0.4842,0.9999116,0.4842,1,1,1,0.6667
16,AWG0_V__6701,Unassigned,Unassigned,Unassigned,239_0,Clustered,2,VC_239_0,2,0.1124,0.94703985,0.1065,1,1,1,1.0
17,AWG0_V__6752,Unassigned,Unassigned,Unassigned,251_0,Clustered/Singleton,1,VC_251_0,1,0.0,1.0,0.0,1,1,1,1.0
18,AWG0_V__6803,Unassigned,Unassigned,Unassigned,252_0,Clustered,2,VC_252_0,2,0.0584,0.80714167,0.0472,1,1,1,1.0
19,AWG0_V__6940,Unassigned,Unassigned,Unassigned,255_0,Clustered,2,VC_255_0,2,0.0721,0.85846305,0.0619,1,1,1,1.0
20,AWG0_V__7452,Unassigned,Unassigned,Unassigned,284_0,Clustered,2,VC_284_0,2,1.0,1.0,1.0,1,1,1,1.0
21,AWG0_V__787,Unassigned,Unassigned,Unassigned,285_0,Clustered,3,VC_285_0,3,0.6507,0.99188498,0.6454,1,1,1,1.0
22,AWG0_V__800,Unassigned,Unassigned,Unassigned,85_0,Clustered,20,VC_85_0,20,0.4138,1.0,0.4138,1,1,1,0.9158
23,AWG0_V__8188,Unassigned,Unassigned,Unassigned,291_0,Clustered,2,VC_291_0,2,1.0,1.0,1.0,1,1,1,1.0
24,AWG0_V__8217,Unassigned,Unassigned,Unassigned,203_0,Clustered,7,VC_203_0,7,0.0705,0.99999785,0.0705,1,1,1,0.8571
25,AWG0_V__872,Unassigned,Unassigned,Unassigned,311_0,Clustered,6,VC_311_0,6,0.7894,0.99999986,0.7894,1,1,1,1.0
26,AWG0_V__8759,Unassigned,Unassigned,Unassigned,313_0,Clustered,2,VC_313_0,2,0.0807,0.89435023,0.0722,1,1,1,1.0
27,AWG0_V__8939,Unassigned,Unassigned,Unassigned,155_0,Clustered,5,VC_155_0,5,0.8819,0.96145006,0.8479,1,1,1,1.0
28,AWG0_V__9428,Unassigned,Unassigned,Unassigned,171_0,Clustered,13,VC_171_0,13,0.3262,1.0,0.3262,1,1,1,1.0
29,AWG0_V__9988,Unassigned,Unassigned,Unassigned,57_0,Clustered,3,VC_57_0,3,0.2837,0.96145006,0.2727,1,1,1,1.0
30,AWG10_V__1219,Unassigned,Unassigned,Unassigned,93_0,Clustered,15,VC_93_0,15,0.338,1.0,0.338,1,1,1,0.9524
31,AWG10_V__162,Unassigned,Unassigned,Unassigned,334_1,Clustered,10,VC_334_1,10,0.3216,1.0,0.3216,1,1,1,1.0
