contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
BAF8_V__3264	7081	No	NA	10	0	2	Low-quality	Genome-fragment	11.24	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
G21F_7878_V2__8418	58968	Yes	55826	84	25	4	High-quality	High-quality	100.0	AAI-based (high-confidence)	5.33	1.0	contig >1.5x longer than expected genome length
BAC3_V__95	42893	No	NA	46	5	2	Medium-quality	Genome-fragment	88.62	AAI-based (medium-confidence)	0.0	1.0	
BAX2_V__6834	2791	No	NA	6	0	2	Low-quality	Genome-fragment	3.72	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
G01M_8653_V__8032	3810	No	NA	6	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BAJ6_V__6498	30995	No	NA	35	0	28	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
BBN1_V__4273	2780	No	NA	2	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G23J_8062V__2676	2838	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G01M_8653_V__10169	15100	No	NA	23	10	0	Low-quality	Genome-fragment	38.74	AAI-based (medium-confidence)	0.0	1.0	
BBD2_V__10227	3047	No	NA	5	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
G23J_7936V__7778	68945	No	NA	81	18	2	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
BAX2_V__5597	6574	No	NA	4	0	1	Low-quality	Genome-fragment	15.13	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
G01M_8520_V__2379	3771	No	NA	4	1	0	Low-quality	Genome-fragment	6.52	AAI-based (medium-confidence)	0.0	1.0	
BBF1_V__1541	14520	No	NA	14	0	13	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
AZP1_V__5641	9628	No	NA	13	1	0	Medium-quality	Genome-fragment	75.81	AAI-based (high-confidence)	0.0	1.0	low-confidence DTR
